	Model Answer	news	label
0	Michelle Bolsonaro: Pedi com os olhos cheios de lágrimas para o Ministro da Agricultura o envio de veterinários para cuidar dos animais que estavam sendo esquecidos, ele disponibilizou cerca de 100 médicos veterinários que já estão em Brumadinho dando auxílio na recuperação dos animais que sobreviveram, muitos animais estão bem debilitados, mas os veterinários afirmaxam que poucos correm riscos de vida.	"É falso que primeira-dama pediu ao governo envio de veterinários para resgatar animais em BrumadinhoÉ falso que primeira-dama pediu ao governo envio de veterinários para resgatar animais em BrumadinhoTwitterFacebookE-mailWhatsAppÉ falso que primeira-dama pediu ao governo envio de veterinários para resgatar animais em BrumadinhoPor Luiz Fernando Menezes 28 de janeiro de 2019, 17h20TwitterFacebookEmailWhatsAppNão é verdade que a primeira-dama Michelle Bolsonaro teria requisitado ao Ministério da Agricultura o envio de cem veterinários para auxiliar as buscas por animais que foram vítimas do rompimento da barragem em Brumadinho (MG). Além do órgão ter desmentido a informação enganosa, a publicação que vem sendo reproduzida nas redes foi feita originalmente em um perfil falso da mulher do presidente Jair Bolsonaro (PSL).No Facebook, uma das reproduções do post, publicada pela página Brasil Acima de Tudo, já acumula mais de 15 mil compartilhamentos. Essa e dezenas de outras postagens que trazem o conteúdo enganoso foram marcadas por Aos Fatos com o selo FALSO na ferramenta de verificação da rede social (entenda como funciona). Publicações semelhantes foram identificados também no Instagram e no Twitter.FALSOMichelle Bolsonaro: Pedi com os olhos cheios de lágrimas para o Ministro da Agricultura o envio de veterinários para cuidar dos animais que estavam sendo esquecidos, ele disponibilizou cerca de 100 médicos veterinários que já estão em Brumadinho dando auxílio na recuperação dos animais que sobreviveram, muitos animais estão bem debilitados, mas os veterinários afirmam que poucos correm riscos de vida.A primeira-dama Michelle Bolsonaro não tem um perfil ou página oficiais no Facebook. O que há, naquela rede social, são diversos perfis falsos e páginas ""de apoio"" à ela, como é o caso da que viralizou desde domingo (27).Nesta segunda-feira (28), Aos Fatos entrou em contato com a assessoria do Ministério da Agricultura que, por telefone, negou que tenha recebido qualquer pedido semelhante ao descrito na publicação, seja de Michelle Bolsonaro, ou de órgão governamental.A foto que ilustra o post também é enganosa. Usada em sites de notícia desde 2007, pelo menos, ela mostra cirurgia feita em um cavalo dentro de um dos hospitais veterinários da Unesp, em São Paulo.A publicação viral também erra ao dizer que há um ministro da Agricultura, quando, na verdade, a pasta é chefiada por uma mulher: Tereza Cristina.O Boatos.org também publicou uma verificação semelhante sobre esta peça de desinformação.Resgate. O MP MG (Ministério Público do Estado de Minas Gerais) fez uma recomendação à Vale para que seja elaborado um plano emergencial de localização, resgate e cuidado dos animais atingidos e requisitou o envio de relatórios diários sobre as medidas adotadas em prol dos animais impactados.Segundo o Globo, grupos de proteção aos animais reclamam da falta de apoio da empresa para o resgate de bois, vacas, capivaras e cachorros. Voluntários relatam ainda que seu trabalho tem sido prejudicado pelos bombeiros e policiais, que os impedem de resgatar os animais.TwitterFacebookEmailWhatsAppLeia tambémCinco fatos sobre migraçãoNão é verdade que Moro afastou promotor do caso Queiroz e delegado que investiga morte de MarielleHomem em foto com Flávio Bolsonaro é assessor do senador, não acusado de matar Marielle]"	1
1	É #FAKE que FHC declarou voto em Fernando Haddad neste 2º turno	"""É #FAKE que FHC declarou voto em Fernando Haddad neste 2º turno""Mensagem que atribui a ex-presidente declaração de apoio ao candidato do PT circula em redes sociais;  FHC desmentiu versões pelo Twitter. Circula pelas redes sociais uma imagem do ex-presidente Fernando Henrique Cardoso (PSDB) acompanhado de uma declaração de apoio ao candidato Fernando Haddad (PT) neste segundo turno das eleições presidenciais. A informação é #FAKE.O presidente de honra do PSDB já declarou diversas vezes que nem o PT nem Jair Bolsonaro, candidato do PSL, explicitaram compromisso com o que ele crê. Em suas redes sociais, o ex-presidente também reclamou de ser vítima de boatos que tentam vinculá-lo a algum dos candidatos.Em 8 de outubro, segunda-feira seguinte à votação do primeiro turno, ele disse em seu Twitter que não apoiaria nenhum dos dois. ""Por que haveria de me pronunciar sobre candidaturas que ou são contra ou não se definem sobre temas que prezo para o país e o povo?""No Facebook, a imagem falsa foi postada por perfis pessoais e já teve mais de 1.500 compartilhamentos até a manhã de sábado (27).No dia 14, em entrevista ao Estadão, o presidente de honra do PSDB afirmou que um apoio a Jair Bolsonaro, do PSL, estava excluído. ""O Bolsonaro pelas razões políticas está excluído. O outro eu quero ver o que vai dizer"", afirmou. Quando perguntado se haveria uma porta aberta para Fernando Haddad, ele respondeu: ""Eu não diria aberta, mas há uma porta. O outro não tem porta. Um tem um muro, o outro uma porta. Figura por figura, eu me dou com Haddad. Nunca vi o Bolsonaro.""FHC também usou o Twitter para criticar declarações de Jair Bolsonaro e de seu filho, o deputado Eduardo Bolsonaro. Disse que elas lembravam o ""fascismo"" e ""outros tempos"", e afirmou que Brasil precisa de coesão.Por fim, na última sexta-feira (26), o tucano se posicionou em relação aos boatos que tentam relacioná-los a um dos candidatos à Presidência. Disse que tudo o que afirmou, por ora, é que não votará em Jair Bolsonaro. ""Nada além disso"", completou.""O Brasil inteiro sabe que eu sempre fui rival do PT. Mas agora não há saída: entre Haddad e Bolsonaro, vou de Haddad. - Fernando Henrique Cardoso (PSDB)""Neste sábado e domingo a equipe do Fato ou Fake se uniu a outras cinco agências de checagens de notícias no Brasil para checar as mensagens de conteúdo suspeito nesta reta final das eleições. A ideia de juntar forças é para ganhar mais agilidade e aumentar o alcance das checagens. A parceria reúne o Fato ou Fake, Projeto Comprova, Lupa, Aos Fatos, Boatos.org e E-Farsas "	1
2	Dilma Rousseff não confundiu John Lennon com Elvis Presley	" #Verificamos: Dilma Rousseff não confundiu John Lennon com Elvis PresleyImagem que circula nas redes sociais mostra ex-presidente ao lado de estátua do ex-BeattleCircula em redes sociais uma imagem da ex-presidente Dilma Rousseff (PT) ao lado de uma estátua na frente do The Cavern Club, em Liverpool. O local ganhou fama por ter servido de palco para os Beatles no início da carreira. Dilma teria escrito, ao postar a foto, que se sentia perto do roqueiro Elvis Presley. Por meio do projeto de verificação de notícias, usuários do Facebook solicitaram que esse material fosse analisado. Confira a seguir o trabalho de verificação da Lupa:""Dilma Rousseff: Me senti pertinha do Elvis!""Legenda de imagem que, até as 14 horas do dia 19 de fevereiro de 2019, tinha sido compartilhada mais de 1.000 vezes no Facebook.FALSOA legenda da foto verificada pela Lupa é falsa. A foto da ex-presidente Dilma Rousseff no Cavern Club, no entanto, é real e foi publicada em sua conta no Instagram no dia 13 de julho de 2018. Na imagem original, Dilma diz a seguinte frase: ""Hoje é dia de rock, bebê. #johnlennon #cavernclub #liverpool"". Dias antes, ela havia participado do 5° Congresso Mundial da UNI Global Union, entidade que reúne sindicatos de 150 países, em Liverpool, no Reino Unido.A hashtag ""#johnlennon"" mostra que em nenhum momento Dilma confundiu o artista representado pela estátua com o roqueiro norte-americano Elvis Presley. Falta ainda à foto que circula nas redes sociais o selo de conta verificada, que a ex-presidente e outras autoridades ou personalidades possuem.Esta verificação também foi feita pelos sites Aos Fatos, Polígrafo e Boatos.org.Nota: esta reportagem faz parte do projeto de verificação de notícias no Facebook. Dúvidas sobre o projeto? Entre em contato direto com o Facebook.Editado por: Natália Leal"	1
3	Site clone do Aos Fatos é retirado do ar por falsificação de identidade.	Site clone do Aos Fatos é retirado do ar por falsificação de identidadeSite clone do Aos Fatos é retirado do ar por falsificação de identidadeTwitterFacebookE-mailWhatsAppSite clone do Aos Fatos é retirado do ar por falsificação de identidade 15 de fevereiro de 2019, 11h54TwitterFacebookEmailWhatsAppRevelado em reportagem do Aos Fatos como parte de uma rede de sites de desinformação, a página Jornal Aos Fatos foi retirada do ar nesta quinta-feira (14) pelo Blogger, serviço de hospedagem de sites do Google. A plataforma confirmou denúncia feita por Aos Fatos de que a página violava a política de conteúdo do Blogger por falsificação de identidade.Nesta quarta-feira (13), Aos Fatos mostrou que uma rede de sites de fake news punida pela Justiça Eleitoral no ano passado se apropriou do nome Aos Fatos para espalhar desinformação na internet, por meio do site aosfatos.com, ou Jornal Aos Fatos. O domínio da página agora suspensa foi comprado em 31 de janeiro deste ano e, desde então, publicava sistematicamente conteúdo com informações falsas.A reportagem informou ainda que a página fake está vinculada a uma rede de mais de uma dezena de sites que usa ferramentas do Google para hospedar conteúdo e fazer dinheiro por meio de publicidade, como O Detetive (hoje fora do ar), Plantão Brasil, Notícias Brasil Online, Pensa Brasil e Descobrindo As Verdades. Aos Fatos já desbancou conteúdo falso ou distorcido desses sites ao menos 14 vezes.Leia a reportagem completaTwitterFacebookEmailWhatsAppLeia tambémCinco fatos sobre migraçãoNão é verdade que Moro afastou promotor do caso Queiroz e delegado que investiga morte de MarielleHomem em foto com Flávio Bolsonaro é assessor do senador, não acusado de matar Marielle]	1
4	Sérgio Moro não declarou que Lula não será presidente aqui nem em lugar algum	"Sérgio Moro não declarou que Lula não será presidente aqui nem em lugar algumSérgio Moro não declarou que Lula não será presidente aqui nem em lugar algumTwitterFacebookE-mailWhatsAppSérgio Moro não declarou que Lula não será presidente aqui nem em lugar algumPor Bernardo Moura 21 de junho de 2018, 19h48TwitterFacebookEmailWhatsAppÉ falsa a notícia ""Sérgio Moro afirma: Lula não será presidente aqui nem em lugar algum"" publicada pelo site The Jornal Brasil. Requentado, o conteúdo voltou a circular no Facebook, já acumula mais de 42 mil compartilhamentos desde o ano passado e foi denunciado por usuários da rede social como enganoso (entenda como funciona).Citada pelo site como fonte da declaração, a entrevista do juiz Moro à TV UFPR, da Universidade Federal do Paraná, nunca existiu, afirmaram nesta quinta-feira (21) a Justiça Federal paranaense e a própria emissora universitária.Confira abaixo, em detalhes, o que checamos.FALSOSérgio Moro afirma: Lula não será presidente aqui nem em lugar algumAo contrário do que sustenta a postagem do The Jornal Brasil, nunca existiu entrevista do juiz Sérgio Moro à TV UFPR, da Universidade Federal do Paraná. Tampouco o magistrado deu a declaração que ilustra a notícia falsa: ""de acordo com a Constituição, mesmo que Lula esteja preso, ele poderá se candidatar à Presidência, mas, se for preciso, eu mudarei a Constituição só para que isso não aconteça. Afinal, povo brasileiro que está lutando comigo, Lula não irá ser presidente nem aqui e nem em lugar nenhum"".Procurada por Aos Fatos, a Justiça Federal do Paraná negou que Moro tenha dado tal entrevista. A TV UFPR, também contactada pela reportagem nesta quinta-feira (21), informou que o juiz nunca foi entrevistado pelo canal.Não é de hoje que essa postagem aparece no Facebook. A primeira vez que a notícia falsa entrou na rede social foi em 12 de março do ano passado. Ela voltou a ser publicada na última segunda-feira (18) pela página Por um Brasil Melhor, que é vinculada ao The Jornal Brasil. Desde que começou a circular pelo Facebook, o conteúdo já acumula 42.600 compartilhamentos.Nesta quinta, Aos Fatos tentou entrar em contato com o The Jornal Brasil por meio de formulário no site e por mensagem no Facebook, mas não obteve qualquer resposta até a publicação desta checagem.Na seção quem somos, o site se define como ""uma rede de blogs da mídia livre formada por autodidatas, blogueiros realistas que trabalham por um Brasil melhor para todos e que defendem a Faxina Geral iniciada pela Lava Jato, independente de partidos, doa a quem doer"".Em 14 de março de 2017, a postagem do The Jornal Brasil foi reproduzida integralmente pelo site TV Cidade, que, em seu site, afirma ser afiliada do SBT no canal 23 em Brasil Novo, município do sudoeste do Pará. No entanto, seu nome não aparece na relação de afiliadas da emissora paulista em todo o país.Repercussão à esquerda. Esta notícia falsa também gerou repercussão à esquerda. Em publicação de 14 de março do ano passado, o site A Postagem reproduziu a falsa declaração de Sérgio Moro com o título: ""Moro assume ser justiceiro sem lei em fala para a TV da UFPR"". Em tom opinativo, o texto assinado por Fábio St. Rios tece uma série de críticas ao juiz da Lava Jato em Curitiba. Para ele, a falsa declaração de Moro ""comprova a tese de que o Brasil vive um golpe"".Nesta quinta-feira, Aos Fatos também tentou entrar em contato com os responsáveis pelo site A Postagem, mas não obteve resposta até a publicação desta checagem. Apesar de assinar diversos textos no site (somente nesta quinta-feira, dia 21, foram sete posts), Fábio St. Rios não aparece entre os colaboradores listados em seção no blog.A Postagem se define como ""uma rede de conteúdo independente que visa democratizar o acesso à informação. Uma revista eletrônica que aborda temas variados e sob uma ótica diferente da abordada pelo mainstream. O canal visa propagar informações que auxiliem na formação do pensamento crítico e difundir conteúdo de forma honesta e acima de tudo, horizontal"".TwitterFacebookEmailWhatsAppLeia tambémCinco fatos sobre migraçãoNão é verdade que Moro afastou promotor do caso Queiroz e delegado que investiga morte de MarielleHomem em foto com Flávio Bolsonaro é assessor do senador, não acusado de matar Marielle]"	1
5	É falsa informação de que Moro mandou retirar tomadas em celasIdeia foi proposta por deputado cearense e incorporada em pacote de medidas de combate ao crime organizado no estado	" #Verificamos: É falsa informação de que Moro mandou retirar tomadas em celasIdeia foi proposta por deputado cearense e incorporada em pacote de medidas de combate ao crime organizado no estadoCircula nas redes sociais a ""informação"" de que o ministro da Justiça e Segurança Pública, Sergio Moro, teria decretado a remoção de tomadas dos presídios do país para dificultar a comunicação dos criminosos via celular. Por meio do projeto de verificação de notícias, usuários do Facebook solicitaram que esse material fosse analisado. Confira a seguir o trabalho de verificação da Lupa:""Aí vem Sergio Moro e simplesmente tira as tomadas, problema resolvido""Publicação que, até as 11h do dia 18 de janeiro de 2019, tinha mais 7,3 mil compartilhamentos no FacebookFALSOA frase analisada pela Lupa é falsa. A retirada das tomadas das celas foi aprovada pela Assembleia Legislativa do Ceará em 12 de janeiro, dentro de um pacote de medidas de combate ao crime organizado apresentado um dia antes pelo governador Camilo Santana (PT). A proposta não tem qualquer conexão com o atual ministro da Justiça e Segurança Pública, Sergio Moro, e não vale para todo o país. Segundo o site da Assembleia Legislativa, o autor da ideia foi do deputado estadual Carlos Matos (PSDB), que, por meio de uma emenda, incluiu a proibição no pacote do governo. Além de dispor sobre a retirada das tomadas, o projeto n° 08/09, transformado na lei 16.831/19, também veda a instalação de novos plugs e define como área de segurança penitenciária a região num raio de 100 metros em torno de cada presídio.A medida foi aprovada em uma sessão extraordinária feita na Casa a pedido do governador em meio à crise de segurança pública no estado, junto com outros sete projetos de lei e um projeto de lei complementar voltados para o combate ao crime organizado. Entre as mudanças autorizadas, está, por exemplo, o aumento da jornada máxima de agentes penitenciários e dos policiais civis e militares. Depois da aprovação, a versão final do pacote foi publicada na edição de 13 de janeiro do Diário Oficial do Estado.Desde o dia 2 de janeiro, quando fortes atos de violência começaram no Ceará, o Ministério da Justiça e Segurança Pública já foi responsável por algumas ações que visavam a auxiliar a segurança no estado. No dia 4, por exemplo, o órgão enviou tropas das Forças Armadas para reforçar o número de agentes nas ruas. No dia 6, a pasta disponibilizou ao governo do Ceará 60 vagas em presídios federais para a transferências de detentos. A transferência foi o resultado de uma ação conjunta entre o Departamento Penitenciário Nacional (Depen) e o governo do Ceará.Os sites Aos Fatos, e-Farsas e Boatos.org e o blog Estadão Verifica publicaram checagens similares a respeito deste conteúdo.*Nota: esta reportagem faz parte do projeto de verificação de notícias no Facebook. Dúvidas sobre o projeto? Entre em contato direto com o Facebook.Editado por: Cristina Tardáguila e Maurício Moraes"	1
6	Vereadores, deputados, governadores e senadores não pagam imposto de renda nem contribuem com a Previdência Social.	" #Verificamos: É falso que políticos não pagam imposto de renda nem contribuem para previdência Informação incorreta já foi compartilhada mais de 230 mil vezes no FacebookCircula nas redes sociais a ""informação"" de que vereadores, deputados, governadores e senadores não pagam imposto de renda nem contribuem com a Previdência Social. Por meio do projeto de verificação de notícias, usuários do Facebook solicitaram que esse material fosse analisado. Confira a seguir o trabalho de verificação da Lupa:""Você sabia que vereadores, deputados, governadores, senadores não pagam imposto de renda! Nem contribuem com a previdência!""Frase que está na imagem (aqui e aqui) que circula na internet e, até as 17h do dia 21 de novembro de 2018, já tinha sido compartilhada 231 mil vezes no FacebookFALSOA instrução normativa 1500/2014 da Receita Federal, que dispõe sobre normas gerais de tributação relativas ao imposto sobre a renda das pessoas físicas, não prevê isenção do tributo para pessoas que ocupam cargos políticos. Os parlamentares seguem as mesmas regras de qualquer outro contribuinte no que diz respeito ao imposto de renda. Os valores são descontados diretamente da folha do salário dos senadores e deputados, que recebem R$ 33,7 mil mensais. Os dados podem ser acessados no Portal da Transparência da Câmara dos Deputados e do Senado Federal. Quanto à aposentadoria dos senadores e deputados, ela é atualmente regida pela Lei n° 9.506/97, que instituiu o Plano de Seguridade Social dos Congressistas - PSSC. De acordo com o Portal da Câmara, hoje o valor da contribuição do parlamentar ao PSSC é de R$ 3.713,93, o que corresponde a 11% do valor do subsídio parlamentar atual (de R$ 33.763,00). Essa contribuição é superior ao pago pelos segurados do INSS, cujo valor máximo é R$ 621,04. Como a adesão ao PSSC é opcional, o parlamentar que não ingressar no plano contribuirá obrigatoriamente para o INSS. Vale ainda lembrar que, atualmente, para se aposentar o ex-parlamentar deve preencher os requisitos de 60 (sessenta) anos de idade e 35 (trinta e cinco) anos de contribuição, em qualquer regime de previdência. Verificação semelhante foi feita pelo site G1.*Nota: esta reportagem faz parte do projeto de verificação de notícias no Facebook. Dúvidas sobre o projeto? Entre em contato direto com o Facebook.Editado por: Cristina Tardáguila"	1
7	Marina Silva de 1986 é de manifestação, e não de invasão a fazenda	" #Verificamos: Foto de Marina Silva de 1986 é de manifestação, e não de invasão a fazendaRegistro já havia circulado na eleição e é de ato feito por seringueiros para impedir o desmatamento em fazenda de Xapuri, no AcreCircula nas redes sociais uma foto da ex-candidata à Presidência da República pela Rede, Marina Silva, liderando um grupo de pessoas em uma trilha no meio do mato. A legenda que acompanha a imagem afirma que o registro é da invasão de uma fazenda no Acre em 1986. Por meio do projeto de verificação de notícias, usuários do Facebook solicitaram que esse material fosse analisado. Confira a seguir o trabalho de verificação da Lupa:""Essa é a Marina Silva invadindo fazendas no estilo MST em 1986""Legenda de imagem que, até as 16h do dia 3 de abril de 2019, tinha diversos compartilhamentos no FacebookFALSOA informação analisada pela Lupa é falsa. A imagem que volta a circular agora chegou a viralizar no início da campanha eleitoral, em agosto do ano passado. À época, a assessoria de Marina Silva negou que o registro estivesse ligado à uma invasão de terras ou ao Movimento Sem Terra (MST). Segundo informado, tratava-se de um ""empate"" _ um ato político em que manifestantes se colocavam na frente de árvores para impedir que fossem derrubadas _ ocorrido em Xapuri, no Acre. Desde 2010, o verbete que define ""empate"" na Wikipedia é ilustrado por esta mesma foto. Em discurso no Senado Federal em 14 de novembro de 1996, Marina Silva, então parlamentar pelo Acre, relembrou o episódio: ""após andarmos seis horas a pé, chegamos onde os fazendeiros iriam derrubar ilegalmente 700 hectares de floresta. Enfrentamos os peões e a polícia -paga com o dinheiro público- que estavam ali de prontidão para defender os interesses dos fazendeiros e percebemos que éramos impotentes para resolver um problema tão grande. Voltamos a pé e foi necessária uma engenharia enorme para permanecermos na luta"". Checagem semelhante foi feita pelo site e-farsas e UOL Comprova. Nota: esta reportagem faz parte do projeto de verificação de notícias no Facebook. Dúvidas sobre o projeto? Entre em contato direto com o Facebook.Editado por: Natália Leal e Nathália Afonso"	1
8	Decreto que aumenta de 27,5% para 35% a alíquota do imposto de renda.	"""É #FAKE que há um decreto que aumenta alíquota do Imposto de Renda de 27,5% para 35%""Ministério da Fazenda diz que informação é falsa; especialistas contestam teor do texto que circula nas redes. Circula pelo Facebook e em mensagens de WhatsApp um texto com a expressão: ""Decreto que aumenta de 27,5% para 35% a alíquota do imposto de renda"". É #FAKE. O G1 consultou a assessoria do Ministério da Fazenda, que diz que a informação é falsa.Existem atualmente quatro alíquotas de Imposto de Renda Pessoa Física para os rendimentos sujeitos à tabela de incidência mensal/anual, que são 7,5%, 15%, 22,5% e 27,5%.A mensagem convoca os leitores para uma mobilização na internet contra os gastos do governo. O texto com os mesmos argumentos já circulou em 2015, mas voltou a circular.""*IMPOSTO DE RENDA* - Decreto que aumenta de *27,5* para *35%* , a aliquota do Imposto de Renda. - Este reajuste atinge diretamente a classe média. - Sem querer cortar gastos, o governo com sua exuberante incompetência, quer como sempre, repassar para a populacão. - Assim é moleza, roubam, administram mal, e nos dão a conta para pagar. Passe adiante... - Se cada pessoa passar para 10 amigos de setores diferentes, no 6º repasse atingiremos milhões de brasileiros . - Vamos tirar 5 minutos para mudar o Brasil e defender nossas famílias e nosso suado dinheiro. Eu fiz minha parte ! Faça a sua!""O advogado tributarista Roberto Pasqualin deixa claro que a palavra ""decreto"" na mensagem já deixa claro que o texto é um boato. Mudanças na alíquota do imposto de renda precisam passar por projeto de lei. ""Isso é mais uma confirmação de que a notícia é falsa"", disse. Pasqualin diz que a ideia de mudança na tabela é antiga e já foi alvo, no passado, de propostas de parlamentares e estudiosos e entidades da sociedade civil.O advogado tributarista Raul Husni Haidar afirma também que o aumento depende de lei. Ele não acredita que o atual governo faça a proposta, de difícil aprovação no Congresso. Para ele, a ideia de reajuste da tabela é muito antiga. ""Da forma como se faz hoje há muitas oportunidades de injustiça, tanto na aplicação da tabela quanto nos abatimentos."" "	1
9	O vídeo analisado pela Lupa não foi gravado em Brumadinho (MG) e não data da última sexta-feira (25). Ele mostra o desmoronamento de parte das obras de uma usina hidrelétrica em Sinop (MT) e foi gravado em outubro de 2015.	" #Verificamos: É de 2015 vídeo que diz mostrar momento exato do rompimento da barragem de BrumadinhoGravação foi feita no Mato Grosso e não tem qualquer relação com desastres de MGCircula na internet um vídeo de cerca de sete minutos que supostamente mostra o momento exato em que se dá o rompimento da barragem da Vale que, na última sexta-feira (25), destruiu boa parte de Brumadinho (MG) e deixou dezenas de mortos e centenas de desaparecidos na região. Por meio do projeto de verificação de notícias, usuários do Facebook solicitaram que esse material fosse analisado. Confira a seguir o trabalho de verificação da Lupa:""Momento exato do rompimento da barragem de Brumadinho""Vídeo (aqui e aqui, por exemplo) que, até as 20h do dia 27 de janeiro de 2019, já tinha sido compartilhado mais de 1,4 mil vezes no FacebookFALSOO vídeo analisado pela Lupa não foi gravado em Brumadinho (MG) e não data da última sexta-feira (25). Ele mostra o desmoronamento de parte das obras de uma usina hidrelétrica em Sinop (MT) e foi gravado em outubro de 2015. Assista:O mesmo vídeo viralizou com associação indevida em 2015, na época do desastre com a barragem da Samarco, em Mariana. O site e-farsas apontou a falsa atribuição.Agora, checagem semelhante foi publicada pelo site Aos Fatos.Nota: esta reportagem faz parte do projeto de verificação de notíciasno Facebook. Dúvidas sobre o projeto? Entre em contato direto com o Facebook.Editado por: Maurício Moraes e Natália Leal"	1
