,model,graph,option,f1_score_mean,f1_score_std
0,CCRNE,GBLP,debiased,0.4264016449111245,0.244059593708386
1,CCRNE,GBLP,original,0.5138541808902177,0.06755985992449559
2,CCRNE,KNN,debiased,0.4264016449111245,0.244059593708386
3,CCRNE,KNN,original,0.5138541808902177,0.06755985992449559
4,CCRNE,MST,debiased,0.4264016449111245,0.244059593708386
5,CCRNE,MST,original,0.5138541808902177,0.06755985992449559
6,CCRNE,yake,debiased,0.4264016449111245,0.244059593708386
7,CCRNE,yake,original,0.5138541808902177,0.06755985992449559
8,LP_PUL,GBLP,debiased,0.674074105739367,0.028758253652189304
9,LP_PUL,GBLP,original,0.6717320088027997,0.0005770712185150151
10,LP_PUL,KNN,debiased,0.663229313596539,0.0006972366041704756
11,LP_PUL,KNN,original,0.6717320088027997,0.0005770712185150151
12,LP_PUL,MST,debiased,0.6632940679823814,0.0004270002728664301
13,LP_PUL,MST,original,0.6718865797003939,0.0007524624671472241
14,LP_PUL,yake,debiased,0.7047583296001847,0.054263914924198006
15,LP_PUL,yake,original,0.754492553072546,0.06423952849608057
16,MCLS,GBLP,debiased,0.7338307038563701,0.06023952146536828
17,MCLS,GBLP,original,0.7581905929224185,0.016377730356677615
18,MCLS,KNN,debiased,0.7145450847632614,0.09294879515465938
19,MCLS,KNN,original,0.7583238015304713,0.012272688042317433
20,MCLS,MST,debiased,0.7305447558410652,0.1081169604439863
21,MCLS,MST,original,0.7593800893962792,0.020119221923244855
22,MCLS,yake,debiased,0.7193537874847264,0.09513785873613682
23,MCLS,yake,original,0.761208365221547,0.015843983098593726
24,PSRB,GBLP,debiased,0.6961103520964198,0.09110142029908709
25,PSRB,GBLP,original,0.7316569809741583,0.046149499577800165
26,PSRB,KNN,debiased,0.7083672763661671,0.06308477669375775
27,PSRB,KNN,original,0.7081752598008635,0.05182895172206147
28,PSRB,MST,debiased,0.7229921824929966,0.10265739744573807
29,PSRB,MST,original,0.7503032642126694,0.04936636496359537
30,PSRB,yake,debiased,0.7741749525895743,0.04950840667042213
31,PSRB,yake,original,0.7372516793173419,0.03906652206806936
32,PU_LP,GBLP,debiased,0.5816001081474621,0.016631488371177856
33,PU_LP,GBLP,original,0.6729641693811075,0.0
34,PU_LP,KNN,debiased,0.5259854489197175,0.1796147996536067
35,PU_LP,KNN,original,0.7874847235168896,0.06396755048324924
36,PU_LP,MST,debiased,0.686031026450083,0.10851392349452318
37,PU_LP,MST,original,0.7475520998540105,0.06464714695291439
38,PU_LP,yake,debiased,0.794307480938939,0.04109327990625396
39,PU_LP,yake,original,0.7534301627691812,0.18363831051274346
40,RCSVM,GBLP,debiased,0.4732385781852497,0.14064934711170635
41,RCSVM,GBLP,original,0.5136325152682023,0.07462795406017723
42,RCSVM,KNN,debiased,0.4732385781852497,0.14064934711170635
43,RCSVM,KNN,original,0.5136325152682023,0.07462795406017723
44,RCSVM,MST,debiased,0.4732385781852497,0.14064934711170635
45,RCSVM,MST,original,0.5136325152682023,0.07462795406017723
46,RCSVM,yake,debiased,0.4732385781852497,0.14064934711170635
47,RCSVM,yake,original,0.5136325152682023,0.07462795406017723
